symbol,module,params,signal_date,entry_date,entry_price,exit_date,exit_price,r_net,entry_reason,exit_reason,trend_stage,benchmark_clock_type
510300.SS,B,20/4%,2017-03-06,2017-03-07,2.781,2017-03-21,2.783,-0.25,密集区突破入场（B2 突破版）：收盘突破密集区上沿，下一根开盘入场；失效 = 跌回密集区且跌破 20 组下弯（B3 两动作齐备）,exit_a6_1_costbasis,4,3
510300.SS,B,20/4%,2017-05-25,2017-05-26,2.829,2017-08-14,3.043,1.193,密集区突破入场（B2 突破版）：收盘突破密集区上沿，下一根开盘入场；失效 = 跌回密集区且跌破 20 组下弯（B3 两动作齐备）,exit_a6_1_costbasis,2,3
510300.SS,B,20/4%,2019-08-19,2019-08-20,3.298,2019-10-09,3.332,0.1371,密集区突破入场（B2 突破版）：收盘突破密集区上沿，下一根开盘入场；失效 = 跌回密集区且跌破 20 组下弯（B3 两动作齐备）,exit_a6_1_costbasis,3,3
510300.SS,A,cm0.5+shrink,2020-07-21,2020-07-22,4.241,2020-07-27,4.092,-1.0816,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,structure_stop_C,4,2
510300.SS,A,cm0.5+shrink,2020-11-18,2020-11-19,4.455,2020-12-23,4.549,7.0,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis,4,2
510300.SS,A,cm0.5+shrink,2020-11-20,2020-11-23,4.539,2020-12-23,4.549,0.0,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis,4,2
510300.SS,A,cm0.5+shrink,2020-12-24,2020-12-25,4.563,2021-02-25,5.062,28.7647,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=EMA20收复,exit_a6_1_costbasis,4,2
510300.SS,A,cm0.5+shrink,2020-12-29,2020-12-30,4.619,2021-02-25,5.062,6.4627,SMA20 回撤入场（A4 早期版）：close > EMA20 且 EMA20 上行，A3=底部构造,exit_a6_1_costbasis,1,2
510300.SS,B,20/4%,2022-08-05,2022-08-08,3.857,2022-08-09,3.858,-0.1139,密集区突破入场（B2 突破版）：收盘突破密集区上沿，下一根开盘入场；失效 = 跌回密集区且跌破 20 组下弯（B3 两动作齐备）,exit_a6_1_costbasis,0,3
510300.SS,B,20/4%,2023-07-28,2023-07-31,3.82,2023-08-14,3.639,-0.6025,密集区突破入场（B2 突破版）：收盘突破密集区上沿，下一根开盘入场；失效 = 跌回密集区且跌破 20 组下弯（B3 两动作齐备）,exit_a6_1_costbasis,3,4
